plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0296572,F:\MediaStack\data\media\movies\The Chronicles of Riddick (2004)\The Chronicles of Riddick (2004) [Bluray-1080p] {imdb-tt0296572}.mkv,movie,The Chronicles of Riddick,written,title-only movie match,1486,the-chronicles-of-riddick-theatrical,F:\MediaStack\data\media\movies\The Chronicles of Riddick (2004)\The Chronicles of Riddick (2004) [Bluray-1080p] {imdb-tt0296572}.leapfrog.json,220
imdb://tt0042332,F:\MediaStack\data\media\movies\Cinderella (1950)\Cinderella (1950) [Bluray-1080p] {imdb-tt0042332}.mp4,movie,Cinderella,written,title-only movie match,684477,cinderella-a14c5,F:\MediaStack\data\media\movies\Cinderella (1950)\Cinderella (1950) [Bluray-1080p] {imdb-tt0042332}.leapfrog.json,128
imdb://tt1661199,F:\MediaStack\data\media\movies\Cinderella (2015)\Cinderella (2015) [Bluray-1080p] {imdb-tt1661199}.mp4,movie,Cinderella,written,title-only movie match,684477,cinderella-a14c5,F:\MediaStack\data\media\movies\Cinderella (2015)\Cinderella (2015) [Bluray-1080p] {imdb-tt1661199}.leapfrog.json,128
imdb://tt0352248,F:\MediaStack\data\media\movies\Cinderella Man (2005)\Cinderella Man (2005) [Bluray-1080p] {imdb-tt0352248}.mkv,movie,Cinderella Man,written,title-only movie match,1003,cinderella-man,F:\MediaStack\data\media\movies\Cinderella Man (2005)\Cinderella Man (2005) [Bluray-1080p] {imdb-tt0352248}.leapfrog.json,221
imdb://tt4287320,F:\MediaStack\data\media\movies\The Circle (2017)\The Circle (2017) [Bluray-1080p] {imdb-tt4287320}.mkv,movie,The Circle,written,title-only movie match,176891,the-circle,F:\MediaStack\data\media\movies\The Circle (2017)\The Circle (2017) [Bluray-1080p] {imdb-tt4287320}.leapfrog.json,57
imdb://tt17279496,F:\MediaStack\data\media\movies\Civil War (2024)\Civil War (2024) [Bluray-1080p] {imdb-tt17279496}.mkv,movie,Civil War,written,title-only movie match,697931,civil-war,F:\MediaStack\data\media\movies\Civil War (2024)\Civil War (2024) [Bluray-1080p] {imdb-tt17279496}.leapfrog.json,205
imdb://tt0109444,F:\MediaStack\data\media\movies\Clear and Present Danger (1994)\Clear and Present Danger (1994) [Bluray-1080p] {imdb-tt0109444}.mkv,movie,Clear and Present Danger,written,title-only movie match,1401,clear-and-present-danger,F:\MediaStack\data\media\movies\Clear and Present Danger (1994)\Clear and Present Danger (1994) [Bluray-1080p] {imdb-tt0109444}.leapfrog.json,119
imdb://tt0389860,F:\MediaStack\data\media\movies\Click (2006)\Click (2006) [Bluray-1080p] {imdb-tt0389860}.mp4,movie,Click,written,title-only movie match,1854,click,F:\MediaStack\data\media\movies\Click (2006)\Click (2006) [Bluray-1080p] {imdb-tt0389860}.leapfrog.json,265
imdb://tt0106582,F:\MediaStack\data\media\movies\Cliffhanger (1993)\Cliffhanger (1993) [Bluray-1080p] {imdb-tt0106582}.mkv,movie,Cliffhanger,written,title-only movie match,1356,cliffhanger,F:\MediaStack\data\media\movies\Cliffhanger (1993)\Cliffhanger (1993) [Bluray-1080p] {imdb-tt0106582}.leapfrog.json,243
imdb://tt2883512,F:\MediaStack\data\media\movies\Chef (2014)\Chef (2014) [Bluray-1080p] {imdb-tt2883512}.mkv,movie,Chef,written,title-only movie match,1538,chef,F:\MediaStack\data\media\movies\Chef (2014)\Chef (2014) [Bluray-1080p] {imdb-tt2883512}.leapfrog.json,216
imdb://tt0118849,F:\MediaStack\data\media\movies\Children of Heaven (1997)\Children of Heaven (1997) [Bluray-1080p] {imdb-tt0118849}.mkv,movie,Children of Heaven,written,title-only movie match,3848,children-of-heaven,F:\MediaStack\data\media\movies\Children of Heaven (1997)\Children of Heaven (1997) [Bluray-1080p] {imdb-tt0118849}.leapfrog.json,28
imdb://tt0071315,F:\MediaStack\data\media\movies\Chinatown (1974)\Chinatown (1974) [Bluray-1080p] {imdb-tt0071315}.mkv,movie,Chinatown,written,title-only movie match,2284,chinatown,F:\MediaStack\data\media\movies\Chinatown (1974)\Chinatown (1974) [Bluray-1080p] {imdb-tt0071315}.leapfrog.json,92
imdb://tt0241303,F:\MediaStack\data\media\movies\Chocolat (2000)\Chocolat (2000) [Bluray-1080p] {imdb-tt0241303}.mp4,movie,Chocolat,written,title-only movie match,1582,chocolat,F:\MediaStack\data\media\movies\Chocolat (2000)\Chocolat (2000) [Bluray-1080p] {imdb-tt0241303}.leapfrog.json,78
imdb://tt0388419,F:\MediaStack\data\media\movies\Christmas with the Kranks (2004)\Christmas with the Kranks (2004) [Bluray-1080p] {imdb-tt0388419}.mkv,movie,Christmas with the Kranks,written,title-only movie match,1617,christmas-with-the-kranks,F:\MediaStack\data\media\movies\Christmas with the Kranks (2004)\Christmas with the Kranks (2004) [Bluray-1080p] {imdb-tt0388419}.leapfrog.json,54
imdb://tt0381061,F:\MediaStack\data\media\movies\Casino Royale (2006)\Casino Royale (2006) [Bluray-1080p Proper] {imdb-tt0381061}.mp4,movie,Casino Royale,written,title-only movie match,1714,casino-royale-2006,F:\MediaStack\data\media\movies\Casino Royale (2006)\Casino Royale (2006) [Bluray-1080p Proper] {imdb-tt0381061}.leapfrog.json,230
imdb://tt0264464,F:\MediaStack\data\media\movies\Catch Me If You Can (2002)\Catch Me If You Can (2002) [Bluray-1080p] {imdb-tt0264464}.mkv,movie,Catch Me If You Can,written,title-only movie match,1786,catch-me-if-you-can,F:\MediaStack\data\media\movies\Catch Me If You Can (2002)\Catch Me If You Can (2002) [Bluray-1080p] {imdb-tt0264464}.leapfrog.json,92
